pollscore,sample_size,state,party,candidate_name,pct,win,party_binary
-0.3,700,Michigan,DEM,Joe Biden,43,0,1
-0.3,700,Michigan,REP,Donald Trump,43,0,0
-0.3,700,Michigan,DEM,Joe Biden,38,0,1
-0.3,700,Michigan,REP,Donald Trump,37,0,0
-0.3,700,Michigan,IND,Robert F. Kennedy,10,0,0
-0.3,700,Michigan,IND,Cornel West,2,0,0
-0.3,437,Nevada,DEM,Joe Biden,43,0,1
-0.3,437,Nevada,REP,Donald Trump,46,0,0
-0.3,437,Nevada,DEM,Joe Biden,35,0,1
-0.3,437,Nevada,REP,Donald Trump,39,0,0
-0.3,437,Nevada,IND,Robert F. Kennedy,11,0,0
-0.3,437,Nevada,IND,Cornel West,1,0,0
-0.3,702,North Carolina,DEM,Joe Biden,39,0,1
-0.3,702,North Carolina,REP,Donald Trump,48,0,0
-0.3,702,North Carolina,DEM,Joe Biden,33,0,1
-0.3,702,North Carolina,REP,Donald Trump,42,0,0
-0.3,702,North Carolina,IND,Robert F. Kennedy,9,0,0
-0.3,702,North Carolina,IND,Cornel West,2,0,0
-0.3,805,Pennsylvania,DEM,Joe Biden,44,0,1
-0.3,805,Pennsylvania,REP,Donald Trump,47,0,0
-0.3,805,Pennsylvania,DEM,Joe Biden,38,0,1
-0.3,805,Pennsylvania,REP,Donald Trump,41,0,0
-0.3,805,Pennsylvania,IND,Robert F. Kennedy,8,0,0
-0.3,805,Pennsylvania,IND,Cornel West,1,0,0
-0.3,675,Wisconsin,DEM,Joe Biden,46,0,1
-0.3,675,Wisconsin,REP,Donald Trump,47,0,0
-0.3,675,Wisconsin,DEM,Joe Biden,36,0,1
-0.3,675,Wisconsin,REP,Donald Trump,38,0,0
-0.3,675,Wisconsin,IND,Robert F. Kennedy,13,0,0
-0.3,675,Wisconsin,IND,Cornel West,2,0,0
0.3,755,North Carolina,DEM,Joe Biden,40,0,1
0.3,755,North Carolina,REP,Donald Trump,39,0,0
-1.1,1000,Michigan,DEM,Joe Biden,42.6,0,1
-1.1,1000,Michigan,REP,Donald Trump,41,0,0
-1.1,788,Michigan,DEM,Joe Biden,44.4,0,1
-1.1,788,Michigan,REP,Donald Trump,43,0,0
-1.1,1000,Pennsylvania,DEM,Joe Biden,43.2,0,1
-1.1,1000,Pennsylvania,REP,Donald Trump,46.4,0,0
-1.1,816,Pennsylvania,DEM,Joe Biden,45.2,0,1
-1.1,816,Pennsylvania,REP,Donald Trump,49.1,0,0
-1.1,1000,Georgia,DEM,Joe Biden,39.7,0,1
-1.1,1000,Georgia,REP,Donald Trump,46.9,0,0
-1.1,780,Georgia,DEM,Joe Biden,41.4,0,1
-1.1,780,Georgia,REP,Donald Trump,49.1,0,0
-1.1,1000,Wisconsin,DEM,Joe Biden,42.6,0,1
-1.1,1000,Wisconsin,REP,Donald Trump,43.8,0,0
-1.1,819,Wisconsin,DEM,Joe Biden,45,0,1
-1.1,819,Wisconsin,REP,Donald Trump,45.2,0,0
-1.1,1000,Arizona,DEM,Joe Biden,40.6,0,1
-1.1,1000,Arizona,REP,Donald Trump,42.8,0,0
-1.1,778,Arizona,DEM,Joe Biden,43.7,0,1
-1.1,778,Arizona,REP,Donald Trump,45.5,0,0
-1.1,1000,Nevada,DEM,Joe Biden,39.4,0,1
-1.1,1000,Nevada,REP,Donald Trump,46.2,0,0
-1.1,770,Nevada,DEM,Joe Biden,44.2,0,1
-1.1,770,Nevada,REP,Donald Trump,47.3,0,0
-0.2,403,Washington,DEM,Joe Biden,39,0,1
-0.2,403,Washington,REP,Donald Trump,29,0,0
-0.2,403,Washington,DEM,Joe Biden,37,0,1
-0.2,403,Washington,REP,Donald Trump,25,0,0
-0.2,403,Washington,IND,Robert F. Kennedy,9,0,0
-0.2,403,Washington,IND,Cornel West,3,0,0
-0.2,1002,Georgia,DEM,Joe Biden,43.5,0,1
-0.2,1002,Georgia,REP,Donald Trump,45.4,0,0
-0.2,1002,Georgia,DEM,Joe Biden,43.4,0,1
-0.2,1002,Georgia,REP,Ron DeSantis,41.8,0,0
-0.2,1002,Georgia,DEM,Joe Biden,40.9,0,1
-0.2,1002,Georgia,REP,Nikki Haley,43.4,0,0
-1.5,603,Arizona,DEM,Joe Biden,44,0,1
-1.5,603,Arizona,REP,Donald Trump,49,0,0
-1.5,603,Arizona,DEM,Joe Biden,44,0,1
-1.5,603,Arizona,REP,Donald Trump,49,0,0
-1.5,603,Arizona,DEM,Kamala Harris,43,0,1
-1.5,603,Arizona,REP,Donald Trump,48,0,0
-1.5,603,Arizona,DEM,Kamala Harris,43,0,1
-1.5,603,Arizona,REP,Donald Trump,48,0,0
-1.5,603,Arizona,DEM,Joe Biden,41,0,1
-1.5,603,Arizona,REP,Ron DeSantis,46,0,0
-1.5,603,Arizona,DEM,Joe Biden,42,0,1
-1.5,603,Arizona,REP,Ron DeSantis,46,0,0
-1.5,603,Arizona,DEM,Joe Biden,38,0,1
-1.5,603,Arizona,REP,Nikki Haley,45,0,0
-1.5,603,Arizona,DEM,Joe Biden,37,0,1
-1.5,603,Arizona,REP,Nikki Haley,46,0,0
-1.5,603,Arizona,DEM,Joe Biden,33,0,1
-1.5,603,Arizona,REP,Donald Trump,33,0,0
-1.5,603,Arizona,IND,Robert F. Kennedy,26,0,0
-1.5,603,Arizona,DEM,Joe Biden,34,0,1
-1.5,603,Arizona,REP,Donald Trump,34,0,0
-1.5,603,Arizona,IND,Robert F. Kennedy,24,0,0
-1.5,629,Georgia,DEM,Joe Biden,43,0,1
-1.5,629,Georgia,REP,Donald Trump,49,0,0
-1.5,629,Georgia,DEM,Joe Biden,44,0,1
-1.5,629,Georgia,REP,Donald Trump,49,0,0
-1.5,629,Georgia,DEM,Kamala Harris,44,0,1
-1.5,629,Georgia,REP,Donald Trump,45,0,0
-1.5,629,Georgia,DEM,Kamala Harris,44,0,1
-1.5,629,Georgia,REP,Donald Trump,47,0,0
-1.5,629,Georgia,DEM,Joe Biden,43,0,1
-1.5,629,Georgia,REP,Ron DeSantis,43,0,0
-1.5,629,Georgia,DEM,Joe Biden,44,0,1
-1.5,629,Georgia,REP,Ron DeSantis,45,0,0
-1.5,629,Georgia,DEM,Joe Biden,40,0,1
-1.5,629,Georgia,REP,Nikki Haley,43,0,0
-1.5,629,Georgia,DEM,Joe Biden,40,0,1
-1.5,629,Georgia,REP,Nikki Haley,45,0,0
-1.5,629,Georgia,DEM,Joe Biden,29,0,1
-1.5,629,Georgia,REP,Donald Trump,36,0,0
-1.5,629,Georgia,IND,Robert F. Kennedy,24,0,0
-1.5,629,Georgia,DEM,Joe Biden,31,0,1
-1.5,629,Georgia,REP,Donald Trump,38,0,0
-1.5,629,Georgia,IND,Robert F. Kennedy,23,0,0
-1.5,616,Michigan,DEM,Joe Biden,43,0,1
-1.5,616,Michigan,REP,Donald Trump,48,0,0
-1.5,616,Michigan,DEM,Joe Biden,46,0,1
-1.5,616,Michigan,REP,Donald Trump,46,0,0
-1.5,616,Michigan,DEM,Kamala Harris,45,0,1
-1.5,616,Michigan,REP,Donald Trump,47,0,0
-1.5,616,Michigan,DEM,Kamala Harris,48,0,1
-1.5,616,Michigan,REP,Donald Trump,46,0,0
-1.5,616,Michigan,DEM,Joe Biden,42,0,1
-1.5,616,Michigan,REP,Ron DeSantis,42,0,0
-1.5,616,Michigan,DEM,Joe Biden,44,0,1
-1.5,616,Michigan,REP,Ron DeSantis,43,0,0
-1.5,616,Michigan,DEM,Joe Biden,35,0,1
-1.5,616,Michigan,REP,Nikki Haley,45,0,0
-1.5,616,Michigan,DEM,Joe Biden,36,0,1
-1.5,616,Michigan,REP,Nikki Haley,46,0,0
-1.5,616,Michigan,DEM,Joe Biden,31,0,1
-1.5,616,Michigan,REP,Donald Trump,34,0,0
-1.5,616,Michigan,IND,Robert F. Kennedy,26,0,0
-1.5,616,Michigan,DEM,Joe Biden,34,0,1
-1.5,616,Michigan,REP,Donald Trump,34,0,0
-1.5,616,Michigan,IND,Robert F. Kennedy,25,0,0
-1.5,611,Nevada,DEM,Joe Biden,41,0,1
-1.5,611,Nevada,REP,Donald Trump,52,1,0
-1.5,611,Nevada,DEM,Joe Biden,41,0,1
-1.5,611,Nevada,REP,Donald Trump,52,1,0
-1.5,611,Nevada,DEM,Kamala Harris,42,0,1
-1.5,611,Nevada,REP,Donald Trump,48,0,0
-1.5,611,Nevada,DEM,Kamala Harris,42,0,1
-1.5,611,Nevada,REP,Donald Trump,50,0,0
-1.5,611,Nevada,DEM,Joe Biden,42,0,1
-1.5,611,Nevada,REP,Ron DeSantis,43,0,0
-1.5,611,Nevada,DEM,Joe Biden,41,0,1
-1.5,611,Nevada,REP,Ron DeSantis,45,0,0
-1.5,611,Nevada,DEM,Joe Biden,38,0,1
-1.5,611,Nevada,REP,Nikki Haley,44,0,0
-1.5,611,Nevada,DEM,Joe Biden,37,0,1
-1.5,611,Nevada,REP,Nikki Haley,46,0,0
-1.5,611,Nevada,DEM,Joe Biden,31,0,1
-1.5,611,Nevada,REP,Donald Trump,38,0,0
-1.5,611,Nevada,IND,Robert F. Kennedy,23,0,0
-1.5,611,Nevada,DEM,Joe Biden,34,0,1
-1.5,611,Nevada,REP,Donald Trump,40,0,0
-1.5,611,Nevada,IND,Robert F. Kennedy,19,0,0
-1.5,600,Pennsylvania,DEM,Joe Biden,44,0,1
-1.5,600,Pennsylvania,REP,Donald Trump,48,0,0
-1.5,600,Pennsylvania,DEM,Joe Biden,44,0,1
-1.5,600,Pennsylvania,REP,Donald Trump,49,0,0
-1.5,600,Pennsylvania,DEM,Kamala Harris,44,0,1
-1.5,600,Pennsylvania,REP,Donald Trump,47,0,0
-1.5,600,Pennsylvania,DEM,Kamala Harris,44,0,1
-1.5,600,Pennsylvania,REP,Donald Trump,48,0,0
-1.5,600,Pennsylvania,DEM,Joe Biden,43,0,1
-1.5,600,Pennsylvania,REP,Ron DeSantis,45,0,0
-1.5,600,Pennsylvania,DEM,Joe Biden,43,0,1
-1.5,600,Pennsylvania,REP,Ron DeSantis,47,0,0
-1.5,600,Pennsylvania,DEM,Joe Biden,38,0,1
-1.5,600,Pennsylvania,REP,Nikki Haley,48,0,0
-1.5,600,Pennsylvania,DEM,Joe Biden,39,0,1
-1.5,600,Pennsylvania,REP,Nikki Haley,49,0,0
-1.5,600,Pennsylvania,DEM,Joe Biden,35,0,1
-1.5,600,Pennsylvania,REP,Donald Trump,35,0,0
-1.5,600,Pennsylvania,IND,Robert F. Kennedy,23,0,0
-1.5,600,Pennsylvania,DEM,Joe Biden,36,0,1
-1.5,600,Pennsylvania,REP,Donald Trump,36,0,0
-1.5,600,Pennsylvania,IND,Robert F. Kennedy,21,0,0
-1.5,603,Wisconsin,DEM,Joe Biden,47,0,1
-1.5,603,Wisconsin,REP,Donald Trump,45,0,0
-1.5,603,Wisconsin,DEM,Joe Biden,47,0,1
-1.5,603,Wisconsin,REP,Donald Trump,45,0,0
-1.5,603,Wisconsin,DEM,Kamala Harris,46,0,1
-1.5,603,Wisconsin,REP,Donald Trump,47,0,0
-1.5,603,Wisconsin,DEM,Kamala Harris,46,0,1
-1.5,603,Wisconsin,REP,Donald Trump,48,0,0
-1.5,603,Wisconsin,DEM,Joe Biden,44,0,1
-1.5,603,Wisconsin,REP,Ron DeSantis,48,0,0
-1.5,603,Wisconsin,DEM,Joe Biden,44,0,1
-1.5,603,Wisconsin,REP,Ron DeSantis,48,0,0
-1.5,603,Wisconsin,DEM,Joe Biden,39,0,1
-1.5,603,Wisconsin,REP,Nikki Haley,52,1,0
-1.5,603,Wisconsin,DEM,Joe Biden,39,0,1
-1.5,603,Wisconsin,REP,Nikki Haley,53,1,0
-1.5,603,Wisconsin,DEM,Joe Biden,37,0,1
-1.5,603,Wisconsin,REP,Donald Trump,35,0,0
-1.5,603,Wisconsin,IND,Robert F. Kennedy,22,0,0
-1.5,603,Wisconsin,DEM,Joe Biden,37,0,1
-1.5,603,Wisconsin,REP,Donald Trump,35,0,0
-1.5,603,Wisconsin,IND,Robert F. Kennedy,21,0,0
-1.2,597,Ohio,DEM,Joe Biden,43,0,1
-1.2,597,Ohio,REP,Donald Trump,51,1,0
-1.1,908,Wisconsin,DEM,Joe Biden,50,0,1
-1.1,908,Wisconsin,REP,Donald Trump,48,0,0
-1.1,908,Wisconsin,DEM,Joe Biden,48,0,1
-1.1,908,Wisconsin,REP,Ron DeSantis,50,0,0
-1.1,908,Wisconsin,DEM,Joe Biden,44,0,1
-1.1,908,Wisconsin,REP,Nikki Haley,53,1,0
0.2,614,Maine,DEM,Joe Biden,36,0,1
0.2,614,Maine,REP,Donald Trump,35,0,0
0.2,307,Maine CD-1,DEM,Joe Biden,43,0,1
0.2,307,Maine CD-1,REP,Donald Trump,27,0,0
0.2,307,Maine CD-2,DEM,Joe Biden,28,0,1
0.2,307,Maine CD-2,REP,Donald Trump,42,0,0
-0.4,1010,Arizona,DEM,Joe Biden,38,0,1
-0.4,1010,Arizona,REP,Donald Trump,46,0,0
-0.4,1010,Arizona,DEM,Joe Biden,37,0,1
-0.4,1010,Arizona,REP,Ron DeSantis,40,0,0
-0.2,4506,California,DEM,Joe Biden,46,0,1
-0.2,4506,California,REP,Donald Trump,31,0,0
-0.2,4506,California,DEM,Joe Biden,43,0,1
-0.2,4506,California,REP,Donald Trump,29,0,0
-0.2,4506,California,IND,Robert F. Kennedy,9,0,0
-0.2,4506,California,IND,Cornel West,4,0,0
-0.4,600,Nevada,DEM,Joe Biden,46,0,1
-0.4,600,Nevada,REP,Donald Trump,46,0,0
-0.1,873,Pennsylvania,DEM,Joe Biden,44,0,1
-0.1,873,Pennsylvania,REP,Donald Trump,42,0,0
-0.4,700,Massachusetts,DEM,Joe Biden,43,0,1
-0.4,700,Massachusetts,REP,Donald Trump,21,0,0
-0.4,700,Massachusetts,IND,Robert F. Kennedy,17,0,0
0.2,668,Ohio,DEM,Joe Biden,40,0,1
0.2,668,Ohio,REP,Donald Trump,45,0,0
0.2,668,Ohio,DEM,Joe Biden,41,0,1
0.2,668,Ohio,REP,Ron DeSantis,38,0,0
0.2,668,Ohio,DEM,Joe Biden,38,0,1
0.2,668,Ohio,REP,Mike Pence,38,0,0
0.2,668,Ohio,DEM,Joe Biden,36,0,1
0.2,668,Ohio,REP,Nikki Haley,34,0,0
0.2,668,Ohio,DEM,Joe Biden,35,0,1
0.2,668,Ohio,REP,Donald Trump,42,0,0
0.2,668,Ohio,IND,Robert F. Kennedy,11,0,0
-0.8,1225,New York,DEM,Joe Biden,46,0,1
-0.8,1225,New York,REP,Donald Trump,37,0,0
-0.8,1225,New York,DEM,Joe Biden,38,0,1
-0.8,1225,New York,REP,Donald Trump,31,0,0
-0.8,1225,New York,IND,Robert F. Kennedy,13,0,0
-0.8,1225,New York,IND,Cornel West,5,0,0
-0.4,1395,California,DEM,Joe Biden,60,1,1
-0.4,1395,California,REP,Donald Trump,29,0,0
-0.1,1375,Alaska,DEM,Joe Biden,37,0,1
-0.1,1375,Alaska,REP,Donald Trump,45,0,0
-0.1,1375,Alaska,DEM,Joe Biden,29,0,1
-0.1,1375,Alaska,REP,Donald Trump,37,0,0
-0.1,1375,Alaska,IND,Robert F. Kennedy,17,0,0
-1.1,1200,Texas,DEM,Joe Biden,37,0,1
-1.1,1200,Texas,REP,Donald Trump,45,0,0
-1.1,1200,Texas,DEM,Joe Biden,38,0,1
-1.1,1200,Texas,REP,Ron DeSantis,39,0,0
-1.1,1200,Texas,DEM,Joe Biden,36,0,1
-1.1,1200,Texas,REP,Vivek G. Ramaswamy,33,0,0
-1.1,1200,Texas,DEM,Joe Biden,34,0,1
-1.1,1200,Texas,REP,Nikki Haley,32,0,0
-1.1,1200,Texas,DEM,Joe Biden,34,0,1
-1.1,1200,Texas,REP,Tim Scott,33,0,0
-1.1,1200,Texas,DEM,Joe Biden,36,0,1
-1.1,1200,Texas,REP,Mike Pence,29,0,0
0.1,1075,Tennessee,DEM,Joe Biden,29,0,1
0.1,1075,Tennessee,REP,Donald Trump,59,1,0
0.1,835,Tennessee,DEM,Joe Biden,30,0,1
0.1,835,Tennessee,REP,Donald Trump,61,1,0
0.1,1164,Tennessee,DEM,Joe Biden,18,0,1
0.1,1164,Tennessee,REP,Donald Trump,46,0,0
0.1,1164,Tennessee,IND,Robert F. Kennedy,22,0,0
0.1,872,Tennessee,DEM,Joe Biden,23,0,1
0.1,872,Tennessee,REP,Donald Trump,48,0,0
0.1,872,Tennessee,IND,Robert F. Kennedy,19,0,0
0.1,1118,Tennessee,DEM,Joe Biden,21,0,1
0.1,1118,Tennessee,REP,Donald Trump,52,1,0
0.1,1118,Tennessee,IND,"Joe Manchin, III",5,0,0
0.1,844,Tennessee,DEM,Joe Biden,23,0,1
0.1,844,Tennessee,REP,Donald Trump,53,1,0
0.1,844,Tennessee,IND,"Joe Manchin, III",6,0,0
-0.6,806,Missouri,DEM,Joe Biden,39,0,1
-0.6,806,Missouri,REP,Donald Trump,52,1,0
-0.6,806,Missouri,DEM,Joe Biden,34,0,1
-0.6,806,Missouri,REP,Donald Trump,49,0,0
-0.6,806,Missouri,IND,Robert F. Kennedy,9,0,0
0.7,628,Georgia,DEM,Joe Biden,49,0,1
0.7,628,Georgia,REP,Donald Trump,51,1,0
0.7,628,Georgia,DEM,Joe Biden,35.9,0,1
0.7,628,Georgia,REP,Donald Trump,44.5,0,0
0.7,628,Georgia,IND,Cornel West,4.9,0,0
0.7,628,Georgia,IND,Robert F. Kennedy,14.6,0,0
-0.3,804,Arizona,DEM,Joe Biden,43,0,1
